NAME,B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,state,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B02001_009E,B02001_010E,B06012_002E,B06012_003E,B06012_004E
Alabama,4997675,2429703,151356,155081,167636,99974,67361,36835,33355,93427,165130,154019,149660,149679,153164,156801,164053,65142,94891,57161,74995,105919,65847,40690,27527,2567972,144276,146733,162158,95167,67230,36923,35193,91167,166305,161793,160136,155635,160225,163741,173302,72650,103050,62057,88700,01,123070,82284,59988,56189,4997675,3338590,1324233,21661,70161,1702,86013,155315,45865,109450,769819,477639,3629405
Alaska,735951,384749,25965,27379,25485,14977,9878,5752,6367,16982,31655,29907,27245,23105,22986,23455,24551,10519,13514,8773,10712,12359,6297,4085,2801,351202,24826,25891,24162,14049,8177,3871,4275,13533,27563,27400,25198,21116,20263,21015,22594,9229,12879,7709,9953,02,11959,7204,4509,3827,735951,458520,23721,107531,47213,10766,14254,73946,10294,63652,75016,50880,593190
Arizona,7079203,3533895,210607,224911,244849,144036,99223,51285,49589,147241,256594,242974,231056,219194,212042,207834,211546,85825,118151,76219,107192,160666,110441,68680,53740,3545308,201999,215310,235194,137529,95682,46600,46449,136692,240029,227073,221106,211558,210133,208954,221343,89545,133191,84306,125486,04,177504,123811,76336,79478,7079203,4985729,318827,300862,234495,13979,490290,735021,461736,273285,934911,609327,5382043
Arkansas,3006309,1483520,95410,99723,105077,62435,41759,23469,20434,57146,99040,95296,96561,91170,90448,90745,97843,38021,52218,33650,44903,62538,42038,24260,19336,1522789,89170,95925,98171,59874,39462,20398,20960,55606,98028,96135,96783,91917,91655,91865,98701,42163,57340,36391,50496,05,72329,51039,32900,35481,3006309,2227020,458086,17459,46388,10627,87626,159103,70121,88982,468113,325974,2129648
California,39455353,19714044,1203859,1245934,1362100,792617,529966,279345,269923,800634,1538050,1518085,1424387,1296275,1273168,1264017,1239784,482736,643638,389220,508667,683160,422793,273543,272143,19741309,1146476,1188179,1296261,757006,509036,254426,254454,768067,1454160,1431327,1348292,1272095,1258976,1247242,1262390,492560,680009,422618,569794,06,789988,517995,367140,452818,39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,2490857,1744360,4741175,3111519,30848658
Colorado,5723176,2895936,165967,176827,191554,112904,78517,40101,35842,118708,229868,234150,217343,199930,187740,176751,181659,71058,97753,61271,80442,107867,60174,35468,34042,2827240,158279,170826,178712,107666,70897,33784,35474,110078,212576,213339,203893,184083,176361,171344,183947,73922,102069,64369,87605,08,116814,69636,47344,54222,5723176,4507448,234065,53143,183391,8192,258867,478070,262707,215363,535976,356031,4713415
Connecticut,3605330,1768860,93734,99242,115470,72468,52870,25866,23950,74077,113856,112538,110750,106582,112721,126100,130797,52437,71499,39968,54345,73549,46331,28795,30915,1836470,88388,97298,108901,68990,51462,25013,24970,67494,107859,111608,113015,108751,117883,131579,138891,54737,73355,43675,60303,09,85569,57039,40984,58706,3605330,2595884,389290,8714,167308,1262,215605,227267,114994,112273,351476,213729,2938489
Delaware,981892,477219,27567,28646,30950,18348,12680,6756,6479,16265,32141,31668,30222,26794,27899,30730,34190,12531,19347,12072,17742,23098,15122,8791,7181,504673,26667,27835,29842,17790,13066,6997,6305,15081,32009,32060,29207,29550,29544,33062,35529,15241,22519,14610,20067,10,26367,18445,11350,11530,981892,645409,215745,3064,39684,383,28095,49512,17378,32134,109274,63519,782809
District of Columbia,683154,325490,21890,17335,16300,7748,9435,4547,3904,13869,35427,37517,30036,22695,19030,18207,18298,6256,8478,5345,6660,9414,6039,3312,3748,357664,21068,17734,15149,7798,11660,5277,5247,16467,41930,40840,30815,23252,18701,17663,16897,7491,10994,6377,8542,11,12634,8679,5938,6511,683154,276373,305109,1984,27988,359,32484,38857,14262,24595,100618,36461,514539
Florida,21339762,10489548,571443,583755,644169,379009,249648,127817,129735,374472,695887,694218,667839,647529,664590,691110,714509,286697,390219,253050,356097,528650,384361,237146,217598,10850214,547351,564146,608112,363328,235032,122308,128357,361790,674644,677693,663502,648060,673380,706150,767423,304159,434716,290844,407880,12,606152,439005,298598,327584,21339762,14449017,3358469,54466,596862,13065,866158,2001725,1406788,594937,2744612,1921491,16262116
Georgia,10625615,5191616,329092,350442,385435,228016,153691,76431,72648,215987,369530,351798,348379,337726,345980,344157,336510,125549,169269,101539,138830,183864,113887,61905,50951,5433999,314626,335684,369232,219670,151305,73686,70417,203397,373801,366856,369159,353592,364774,355904,355026,138447,189567,118830,161286,13,220414,142180,90991,95155,10625615,5934931,3350903,34928,448181,6894,334875,514903,221633,293270,1441351,940270,7975274
Hawaii,1453498,732172,45527,44814,45331,24728,16595,8584,10350,31162,53358,51933,50671,45592,44046,44208,46520,19073,26494,17035,24439,34252,21383,12148,13929,721326,42240,42166,42674,23540,14654,6773,8344,25594,48158,49091,48310,43872,43034,43870,45763,18884,28756,19522,25944,15,34462,23771,16612,25292,1453498,344295,28142,4286,544643,153485,23633,355014,18697,336317,133740,77421,1203557
Idaho,1811617,912529,58614,65157,69888,41468,25257,12402,12670,36601,60857,58833,60922,57498,53733,52262,55108,21737,32594,21199,27337,38911,23746,14612,11123,899088,56355,61224,66826,39298,24033,12032,11827,32768,57521,58092,60331,54437,51165,50665,56110,23018,33216,22885,28356,16,39331,26231,15696,17671,1811617,1567799,12242,22799,24616,3016,77835,103310,50399,52911,202560,165856,1412459
Illinois,12821813,6332176,381213,397940,433292,262755,172181,85979,85749,250965,443153,439475,434478,409290,406583,412702,431013,168348,226841,138255,180707,240656,149160,94438,87003,6489637,364468,383394,413063,251226,163942,80947,80798,249023,437334,431580,429049,403904,406528,414670,438484,178352,240359,150562,201972,17,278135,190748,132905,168194,12821813,8699413,1804013,42714,725482,5111,795980,749100,430285,318815,1483378,911991,10133922
Indiana,6751340,3344360,213036,222731,237190,142459,99351,49040,51207,136961,226569,215360,218528,204844,208872,211861,224223,88320,121315,73862,98668,128764,79245,47988,43966,3406980,202506,213179,225170,135816,93793,48400,46661,132626,223156,213847,216768,203313,206709,211504,226191,93147,129140,79588,108185,18,147494,98984,67356,83447,6751340,5483296,635076,11399,163657,2276,167683,287953,106749,181204,819005,548513,5183403
Iowa,3179090,1590001,99307,105743,108860,65647,47027,25800,23174,67284,102405,98991,106752,95134,91900,96739,104311,44325,61144,37194,50571,64693,39404,27002,26594,1589089,95263,99107,106302,61946,44997,24934,22543,61272,97745,95590,100342,90434,89294,93898,106497,43363,60478,38444,52321,19,69995,49385,37398,47541,3179090,2795319,119036,10889,79188,4182,46711,123765,46329,77436,339695,240161,2504742
Kansas,2932099,1468152,95187,104105,104313,62942,43152,23805,23415,63874,98904,94929,99726,86946,84861,85937,92897,38380,54267,32406,43541,56074,33609,22515,22367,1463947,90089,98651,99835,59029,41022,21130,19948,59651,91623,92525,94101,85850,81972,84485,94717,39071,56732,34041,45372,20,61939,41346,30721,40097,2932099,2386766,165291,21657,87946,2196,88787,179456,67886,111570,327209,224996,2298497
Kentucky,4494141,2223783,139220,144884,149328,91259,61123,33751,29623,90619,152908,141704,141134,140014,141570,144790,151604,60119,81402,50122,70369,92183,57046,33203,25808,2270358,131639,134664,146208,84707,58939,31760,30119,82734,146828,140300,141990,137788,140784,145892,157004,62886,89996,55905,76801,21,104900,70257,49428,48829,4494141,3842383,361703,7114,68737,3961,51365,158878,46605,112273,709140,416975,3233066
Louisiana,4657305,2283561,151391,153155,162798,94784,60362,34306,30295,90109,161702,160252,159126,139567,133610,138536,150480,61288,81341,49725,67192,90075,53974,30832,28661,2373744,145968,147702,155675,89610,56297,34687,30030,86281,162349,162932,162131,140389,138505,145004,158590,64273,91334,54157,78017,22,104306,70299,44944,50264,4657305,2805875,1486002,25550,80438,2172,79627,177641,65233,112408,850486,460187,3220872
Maine,1357046,668308,32899,35609,38348,24154,16853,7887,7820,22432,40080,41250,40628,37826,41977,46926,51211,22146,31071,19748,26348,36493,21720,13549,11333,688738,31033,33921,35708,22913,15933,7556,8762,20318,39583,41338,41280,38573,42532,47672,55554,23137,31295,21164,27930,23,39576,25053,17313,20594,1357046,1261097,19525,7578,14917,228,6800,46901,14871,32030,145992,103119,1072378
Maryland,6148545,2995146,185279,191750,204033,120450,80513,39372,38536,112517,203656,208619,209370,185981,192714,205860,207851,82028,111573,64168,83587,113708,69992,44353,39236,3153399,178187,185444,192426,115580,78045,36582,35890,113146,203202,214422,214520,195514,202811,218861,225122,87571,121230,73060,98365,24,136890,91867,60518,74146,6148545,3238671,1833987,17266,397087,2928,326831,331775,113106,218669,550074,337564,5119139
Massachusetts,6991852,3413174,183397,189716,208481,129924,104293,49917,50414,141352,250358,245596,224342,208058,215042,235548,245573,93025,130319,76963,103679,138031,82445,52395,54306,3578678,174546,182121,197419,124120,108312,50778,50936,143258,247846,246823,228666,212330,223825,245015,254311,96092,144068,84787,115894,25,163566,106706,72738,104521,6991852,5211704,511394,14939,480944,2406,318785,451680,224943,226737,668780,388377,5699060
Michigan,10062512,4983325,288862,306114,324974,202816,136436,73996,68821,205082,344878,313922,307002,290209,308761,329890,350845,145322,200644,122107,162213,214587,131350,80360,74134,5079187,275955,288805,309219,192111,131364,70441,70575,193809,331419,308816,306100,288969,311092,332435,360242,146051,213479,129837,173087,26,245075,158342,108018,133946,10062512,7715291,1368177,48361,322218,2915,142181,463369,149857,313512,1310058,783771,7756476
Minnesota,5670472,2839135,178137,190312,193180,115182,74259,36417,36289,106442,189384,196543,198577,179025,169485,180009,197754,75418,108215,63186,86442,110789,67391,44326,42373,2831337,170331,179033,187238,110156,70334,36508,34169,104984,181861,188427,191062,170050,163511,175591,196675,75904,108493,66139,90801,27,118235,81420,57185,73230,5670472,4576758,376406,52695,283382,2338,120011,258882,74480,184402,512312,354939,4683182
Mississippi,2967023,1444255,93586,93551,110455,63283,44192,22865,20374,58237,97142,90641,93992,87651,86841,89378,92221,38358,53126,31975,42333,59935,37729,20912,15478,1522768,88560,94546,102156,59917,43338,22195,20923,54740,98829,94015,100427,90336,93417,94482,99786,40531,60001,36599,48873,28,68463,46434,31997,32203,2967023,1701989,1113414,13357,29092,1129,38053,69989,20161,49828,557111,319072,1997949
Missouri,6141534,3027741,188129,196550,205388,123453,83065,42056,42856,118326,206381,200482,200397,182614,180652,188936,206046,83556,117296,69651,92299,125449,80868,49584,43707,3113793,179003,183572,198719,117561,77633,41776,39608,116020,205356,202132,197003,183070,182671,191872,214436,86190,124893,73994,104484,29,145732,99421,69796,78851,6141534,4930466,695678,19904,123406,8468,84084,279528,96321,183207,762023,514367,4691519
Montana,1077978,545671,31226,33436,34933,20506,14576,7071,7692,23017,35936,34407,35629,32629,30583,31423,35729,16057,22920,14358,20543,27907,17524,9898,7671,532307,29140,31527,32575,19472,12320,7414,6575,20036,34277,33471,33845,30738,29036,30480,37011,16635,23202,15303,21057,30,26300,18041,11141,12711,1077978,938223,6236,65452,8972,581,10155,48359,13846,34513,131512,93616,828176
Nebraska,1951480,978863,66837,69746,71254,42180,28413,13686,13979,40745,65035,65198,67411,59732,56422,56920,61049,25922,35275,21940,28487,36378,22685,15271,14298,972617,63563,65190,67848,39292,26889,13451,13243,39849,62454,62420,64962,55844,53402,54767,61281,25367,36083,22288,30755,31,40150,26895,19694,26930,1951480,1630376,93358,17937,48379,1175,60041,100214,45055,55159,195455,148486,1555575
Nevada,3059238,1541789,92638,98171,104066,60095,35545,19413,19564,53259,112063,113259,110421,100402,101494,101238,98918,37819,54485,33438,45816,66326,42276,23062,18021,1517449,88791,92791,100108,57370,32248,18403,16949,53109,108710,108767,102803,99684,97699,96003,99306,36734,54506,36911,49095,32,70263,45433,25947,25819,3059238,1799601,284412,37850,255094,21810,345215,315256,165941,149315,388814,268767,2360558
New Hampshire,1372175,683846,32295,36298,39656,25252,19201,9555,8503,26677,44333,44258,40592,40466,43534,49988,56351,21487,29623,17868,24618,32584,18826,11505,10376,688329,31214,32468,39337,24095,19781,8982,8282,24473,40719,42249,40158,39419,43686,50020,56454,22581,30052,17849,25223,33,35980,22188,15244,17875,1372175,1249067,21834,1988,36625,513,11258,50890,20100,30790,98429,68246,1164007
New Jersey,9234024,4539311,271646,287097,299463,185406,115396,57259,57508,169193,296741,300787,306668,292044,303778,320503,327668,127924,167129,97868,130286,174895,111399,70739,67914,4694713,258730,270750,290610,176740,107423,52858,53661,168678,287843,294465,304997,293297,309328,331562,340028,132993,179335,108821,147113,34,207935,144391,102113,131042,9234024,5787873,1225321,24719,900516,3303,675022,617270,380273,236997,883896,542268,7632329
New Mexico,2109366,1048448,61578,68043,74617,43125,29389,13506,14869,44282,72859,71901,69970,61956,59742,59920,65975,27614,38904,23703,34972,48102,28821,18571,16029,1060918,59138,64912,72068,41845,27835,14737,13728,39055,68438,67307,66329,62468,59740,61695,70339,29912,42029,27882,39396,35,50827,32348,23387,25503,2109366,1364638,44792,197712,34313,1705,204742,261464,196830,64634,378896,223694,1465030
