State,total_disabled,total_disabled_male,total_disabled_female,total_disabled_white,total_disabled_black,total_disabled_indian,total_disabled_asian,total_disabled_hawaiian,total_disabled_other_race,total_disabled_two_or_more,total_disabled_not_hispanic,total_disabled_hispanic,total_disaled_under_5,total_disabled_5_17,total_disabled_18_34,total_disabled_35_64,total_disabled_65_74,total_disabled_75+,STATEFP
Alabama,792519,380097,412422,540435,213070,4829,5010,402,6236,22537,532059,17676,1805,49103,88546,331920,153784,167361,01
Alaska,88000,48081,39919,56119,2877,15591,3654,1282,1671,6806,54210,4742,367,6694,11792,36934,18001,14212,02
Arizona,917555,462683,454872,690580,37331,44537,18065,1291,47920,77831,578672,218092,3498,68584,117044,325269,174123,229037,04
Arkansas,521071,257921,263150,403194,79783,3756,3494,838,6758,23248,395692,17510,2051,41284,61344,214357,97049,104986,05
California,4145501,1991798,2153703,2402234,317607,52398,479542,16983,492274,384463,1864525,1311264,15665,300184,512922,1451923,756955,1107852,06
Colorado,610615,308153,302462,485516,28000,9178,12599,1108,28694,45520,425843,118554,2260,45735,89138,227641,111530,134311,08
Connecticut,405928,195889,210039,301680,45556,1704,9768,110,23503,23607,274400,67148,1359,31038,51291,146743,68584,106913,09
Delaware,128119,61663,66456,89712,26749,836,2521,25,3284,4992,85719,8721,451,10320,15125,47778,24269,30176,10
District of Columbia,75752,33046,42706,15339,51925,385,1567,11,2463,4062,13636,5903,434,5088,12955,29962,12055,15258,11
Florida,2818838,1379431,1439407,2061714,389558,9588,48228,1507,96153,212090,1742503,570729,6447,195723,281994,971002,538742,824930,12
Georgia,1297020,621210,675810,772425,422668,4367,25329,509,21034,50688,741172,70670,5197,107314,161970,521695,237637,263207,13
Hawaii,159392,80279,79113,39840,2667,683,67222,17646,1845,29489,37475,11894,600,9120,14137,50029,31984,53522,15
Idaho,244431,129136,115295,214358,1194,3910,2282,316,9762,12609,205844,22471,820,20607,33564,90200,45235,54005,16
Illinois,1425464,679307,746157,1002593,253716,4893,48134,450,55238,60440,936332,155107,4455,101200,174312,526171,266467,352859,17
Indiana,906129,442053,464076,757069,89562,2223,8394,302,15182,33397,739091,41330,2307,76091,118569,360139,158642,190381,18
Iowa,372527,186163,186364,337087,11362,2011,4760,438,4071,12798,329193,15487,1589,27986,48338,135426,66795,92393,19
Kansas,378780,190664,188116,315494,24234,3741,5693,197,9641,19780,300045,31364,1812,31327,50289,143927,64712,86713,20
Kentucky,768360,378078,390282,681687,52881,1876,4231,360,4245,23080,674299,15055,2663,57944,94669,331854,139208,142022,21
Louisiana,704928,340587,364341,433602,226875,4807,6239,427,8104,24874,421629,25247,1930,59651,86332,288350,129818,138847,22
Maine,211861,108281,103580,198351,2266,1960,1658,39,824,6763,196505,3165,367,14820,27673,80572,39989,48440,23
Maryland,669324,307874,361450,376085,215759,2688,27127,240,17770,29655,362193,41659,1682,55119,86152,249595,116215,160561,24
Massachusetts,803600,379269,424331,621642,64830,2859,28746,178,38282,47063,579643,106506,3035,61960,109844,283331,138016,207414,25
Michigan,1399388,683139,716249,1066662,232195,10175,18080,538,16742,54996,1040975,53992,3582,100227,177732,555970,250023,311854,26
Minnesota,616470,313276,303194,510633,40166,9460,21395,383,10204,24229,499501,25416,2607,50210,86114,220291,107722,149526,27
Mississippi,487068,234322,252746,292805,176985,2128,2171,250,2717,10012,289435,8079,1365,35418,57318,205262,91993,95712,28
Missouri,866531,426109,440422,708201,102557,3832,8171,1139,7080,35551,696543,24020,2329,63977,103908,344075,162901,189341,29
Montana,146768,79549,67219,129329,450,8600,801,14,1071,6503,126731,4885,436,9779,17898,52725,31682,34248,30
Nebraska,226316,115372,110944,195715,11107,2546,2700,253,4842,9153,186764,17427,858,17931,28818,82632,40937,55140,31
Nevada,376870,189483,187387,248263,37602,5252,24945,2503,28549,29756,220665,73392,1744,26289,42754,144608,76678,84797,32
New Hampshire,171838,86755,85083,161090,1881,411,2091,192,1037,5136,158227,5511,490,11783,23673,63682,32741,39469,33
New Jersey,946687,440796,505891,634230,143748,2733,51548,404,59254,54770,562651,168417,2549,68834,102134,336301,171962,264907,34
New Mexico,332720,167228,165492,222484,6462,29719,2765,290,33465,37535,138168,152197,1189,22218,39472,130499,63464,75878,35
New York,2296516,1054641,1241875,1452054,382609,13758,119936,1160,200179,126820,1314104,437196,5995,164485,267886,840277,409433,608440,36
North Carolina,1344612,646790,697822,930290,302232,20126,17446,530,24228,49760,903005,66814,3900,96894,150990,534039,257049,301740,37
North Dakota,84314,44766,39548,71472,1923,5977,681,111,648,3502,70515,2372,462,6454,12573,29149,15514,20162,38
Ohio,1615264,780111,835153,1303075,212055,4263,16303,446,17661,61461,1279237,54430,4409,130164,205761,629088,285932,359910,39
Oklahoma,631051,317669,313382,462822,43886,50259,6174,701,12142,55067,445541,39159,2452,46773,79596,255873,119034,127323,40
Oregon,599964,299985,299979,507869,11171,9005,14466,1569,13570,42314,486245,48913,1631,41610,82941,223650,115673,134459,41
Pennsylvania,1778737,856893,921844,1384241,228651,3839,33772,709,61862,65663,1331920,143362,4602,146235,218693,666447,311200,431560,42
Rhode Island,144834,67429,77405,114686,8992,913,2871,55,8880,8437,106149,21990,342,11037,21124,55942,24340,32049,44
South Carolina,712699,348187,364512,475738,196929,3140,5963,373,9080,21476,466563,24007,2205,48943,75762,283274,144047,158468,45
South Dakota,101743,53481,48262,85540,1811,8709,811,226,752,3894,84496,2934,451,6491,13531,36377,20359,24534,46
Tennessee,1034825,503764,531061,826257,155530,3589,9340,471,7698,31940,812655,27451,3549,75910,117359,426095,197332,214580,47
Texas,3247014,1600899,1646115,2185562,444127,22080,84273,3809,191080,316083,1552249,1082758,13890,312599,425792,1225928,595579,673226,48
Utah,313742,157968,155774,272149,3489,4842,4760,2577,11248,14677,256386,35154,1315,34091,54928,112500,49029,61879,49
Vermont,90229,45931,44298,84837,866,334,786,0,270,3136,84147,1260,343,6143,13530,33566,16137,20510,50
Virginia,994331,478359,515972,678070,215025,3467,35307,810,17232,44420,654548,57233,3008,79643,121456,372785,180261,237178,51
Washington,955644,477895,477749,750002,34946,15828,47778,5290,33479,68321,717653,84784,3056,71150,131104,357285,179088,213961,53
West Virginia,342601,171882,170719,318460,11246,628,768,208,925,10366,316554,3724,725,20248,34642,144675,70525,71786,54
Wisconsin,675060,339699,335361,573306,49100,7327,9930,162,10214,25021,557688,34058,2127,50673,84758,251840,122260,163402,55
Wyoming,75942,40599,35343,68371,389,1779,462,0,1515,3426,65360,5776,316,4856,8434,29395,16465,16476,56
Puerto Rico,713369,329582,383787,364451,68389,1567,1100,45,139066,138751,5055,705649,1457,48089,62759,269407,135568,196089,72
