State,total_pop,total_povety,under_5,5_17,18_64,60+,male_poverty,female_poverty,white_poverty,black_poverty,indian_poverty,asian_poverty,hawaiian_poverty,hispanic_poverty,white_nonhispanic,poverty_percent,male_percent,female_percent,white_percent,black_percent,indian_percent,asian_percent,hawaiian_percent,hispanic_percent,white_nonhispanic_percent,under_5_percent,5_17_percent,18_64_percent,60+_percent
Alabama,4876863,769819,73634,172262,437112,130310,329724,440095,375984,322792,3925,9427,327,60845,352725,0.15785126627506246,0.4283136685376692,0.5716863314623308,0.5277301724319431,0.4530700184573061,0.005509119874237671,0.013231712880111726,0.00045897635640145695,0.07903805959582708,0.45819212048546476,0.0956510556377538,0.2237694834759859,0.5678113946265291,0.16927355651133577
Alaska,719086,75016,7657,15876,44879,10724,36324,38692,32478,2504,24621,4463,1780,5218,30572,0.10432131900774039,0.4842167004372401,0.5157832995627599,0.49324180663973516,0.0380281262339398,0.37391792971478904,0.06777936397047657,0.027032773441059442,0.06955849418790658,0.40753972485869683,0.10207155806761224,0.21163485123173723,0.598259038071878,0.14295616935053856
Arizona,6926281,934911,82353,215306,526260,160705,430677,504234,561370,56760,90957,25106,1784,402027,341689,0.13498022964993767,0.4606609613107558,0.5393390386892443,0.762754814348818,0.07712197527911878,0.12358674252048638,0.03411247905844884,0.002423988793128046,0.43001633310550413,0.3654775695226605,0.08808645956673951,0.23029571798812934,0.5628985004989779,0.17189336739005104
Arkansas,2923735,468113,47169,104535,266675,75524,206700,261413,283974,123530,3446,4948,2979,50586,262648,0.16010787571377022,0.44156005067152587,0.5584399493284742,0.6779412572187062,0.29490757429985415,0.008226758690498643,0.01181253685449428,0.007111872936446737,0.10806365129787039,0.5610782012035556,0.10076413173742238,0.22331146539403948,0.5696808249290235,0.16133711304749068
California,38701352,4741175,373702,1055984,2723100,832202,2146549,2594626,2203624,409835,58660,571805,19171,2380287,1203484,0.12250670209144114,0.45274620742748367,0.5472537925725163,0.6753171452256217,0.12559701755541902,0.01797679810118921,0.17523394200904358,0.005875097108726531,0.5020458008826926,0.25383665441583575,0.07882054553987144,0.22272622292996988,0.5743512947739748,0.17552653087051207
Colorado,5605422,535976,39234,102587,334490,91331,246395,289581,373665,37363,8752,16826,703,175884,281072,0.09561742184620534,0.45971274833201486,0.5402872516679851,0.8544644633428536,0.08543844284018852,0.020013308667326764,0.03847622619246345,0.0016075589571675863,0.3281564846187143,0.5244115408152604,0.07320103885248594,0.1914022269653865,0.6240764511843814,0.17040128662477425
Connecticut,3503694,351476,25424,72437,207691,67853,153937,197539,189064,64472,1726,14134,344,127775,139246,0.10031583808403359,0.43797300526920757,0.5620269947307924,0.7009119893230519,0.2390153481129977,0.006398754356046563,0.052398606065099725,0.0012753021428041818,0.3635383354766755,0.39617498776587873,0.07233495316892191,0.20609373043963172,0.5909109014555759,0.19305158815964674
Delaware,955602,109274,10880,24308,62605,19055,47311,61963,53151,36550,513,4119,66,16911,45982,0.11435095363969519,0.4329575196295551,0.5670424803704449,0.563046218709944,0.387186304939671,0.005434379601478829,0.04363393680017797,0.0006991599487282704,0.15475776488460202,0.42079543166718525,0.0995662280139832,0.22244998810329997,0.5729176199278877,0.1743781686402987
District of Columbia,651618,100618,8478,19573,61342,16756,42822,57796,14190,72900,585,3446,18,8495,12250,0.15441255459487,0.42558985469796656,0.5744101453020334,0.15569624419842218,0.7998771107868201,0.006418766938412754,0.03781037755516299,0.0001975005211819309,0.08442823351686576,0.12174759983303186,0.08425927766403625,0.1945278180842394,0.6096523484863543,0.1665308394124312
Florida,20928219,2744612,215405,548122,1523140,624967,1230391,1514221,1571721,664615,9598,66474,2117,880620,1061435,0.13114407871974199,0.4482932378055623,0.5517067621944377,0.6790684913751202,0.287149631133818,0.004146855186269321,0.02872036378954645,0.0009146585152461089,0.32085409522366004,0.38673408117431535,0.07848286023671106,0.1997083740798335,0.5549564018520651,0.2277068671273025
Georgia,10356895,1441351,135022,353211,805811,220535,632848,808503,600437,633240,8376,43207,1143,205514,510938,0.13916825457823026,0.4390658486378405,0.5609341513621595,0.46675652964117775,0.49225631470075865,0.0065111788451985885,0.03358745276557968,0.0008885240472853374,0.14258428377265497,0.3544854792482886,0.09367739017074952,0.24505550695146427,0.559066459176148,0.15300575640492844
Hawaii,1414718,133740,11147,25335,75275,30564,62143,71597,32950,2376,825,33001,27821,18730,28552,0.09453474119930615,0.46465530133094063,0.5353446986690593,0.33978530106318255,0.0245016654120219,0.008507522712507605,0.3403112206490466,0.2868942901632413,0.14004785404516226,0.21348885898011066,0.08334828772244654,0.18943472409152087,0.5628458202482428,0.2285329744279946
Idaho,1780875,202560,18940,42541,118835,32530,91224,111336,163301,2769,5623,3575,934,38337,145088,0.11374184038744999,0.4503554502369668,0.5496445497630331,0.9267828969024188,0.015714918105356353,0.03191223709151996,0.02028921351630515,0.005300734384399723,0.18926244075829385,0.7162717219589257,0.09350315955766193,0.210016785150079,0.5866656793048973,0.1605943917851501
Illinois,12529291,1483378,127437,322919,857047,258757,657599,825779,760350,426484,5325,73858,700,313615,627051,0.11839281249034762,0.4433118193744278,0.5566881806255721,0.6002524636521023,0.33668451595739224,0.004203780323466094,0.05830663044705329,0.0005526096199861531,0.21141947635734115,0.4227182821910531,0.08590999731693473,0.21769164703804425,0.5777670964514776,0.174437668618518
Indiana,6550921,819005,77763,183418,478890,121197,362924,456081,551790,156589,2171,22875,324,93462,511810,0.12502135195951836,0.44312794183185694,0.556872058168143,0.7520146535123046,0.21340949016625577,0.002958777456596193,0.031175510971735567,0.0004415678931078611,0.11411651943516829,0.6249168197996349,0.09494813828975403,0.22395223472384174,0.584721704995696,0.14798078155811015
Iowa,3084598,339695,28244,66704,206598,55907,151946,187749,261729,32909,2364,10682,972,35442,242203,0.1101261817585306,0.4473012555380562,0.5526987444619438,0.8479634285418071,0.10662031517287854,0.007659011974495879,0.0346081074075994,0.003149136903219118,0.10433477089742269,0.7130013688750202,0.0831451743475765,0.1963643856989358,0.6081867557662021,0.16457999087416653
Kansas,2850702,327209,29476,69427,194437,51121,144459,182750,226595,36702,3904,11713,434,65210,194292,0.11478190284358028,0.4414884676154996,0.5585115323845005,0.8111566934433037,0.13138450964388504,0.013975399859673238,0.04192977934332803,0.0015536177098099862,0.19929158427793855,0.5937856232560841,0.09008309673633672,0.2121793715943021,0.5942287651012045,0.156233477685516
Kentucky,4359181,709140,62091,151855,415288,121233,315632,393508,563941,86624,1609,9024,671,39658,546327,0.16267734696035793,0.44509123727331695,0.5549087627266831,0.8520432290982052,0.13087786253775294,0.0024309946530204616,0.01363411792968095,0.0010137957813404163,0.05592407705107595,0.7704078179202978,0.08755816904983502,0.2141396621259554,0.5856220210395691,0.17095777984601065
Louisiana,4531545,850486,85947,198004,474390,137888,370883,479603,340573,433404,5122,10664,418,56008,317371,0.18768124337284525,0.4360836039629106,0.5639163960370894,0.4310063137433069,0.5484869922207697,0.0064820591737842345,0.013495642137687442,0.0005289927244517395,0.06585411164910417,0.3731642848912269,0.10105633720014204,0.23281276822898908,0.5577869594561228,0.16212847712954712
Maine,1321489,145992,9245,25048,88030,34661,65660,80332,129892,4717,1881,1623,50,3368,127964,0.11047538042314389,0.4497506712696586,0.5502493287303414,0.9401359264057672,0.03414083365300406,0.013614354060059494,0.011746994492013057,0.00036189138915628644,0.023069757246972435,0.8765137815770727,0.0633253876924763,0.17157104498876652,0.6029782453833087,0.23741711874623267
Maryland,6006777,550074,44630,116248,315165,105851,238213,311861,202249,231217,2634,29652,100,79578,182373,0.09157556539888197,0.4330562797005494,0.5669437202994506,0.43414861372281327,0.49633145290779046,0.005654156255634837,0.06365111666366143,0.00021466045010003177,0.1446678083312427,0.3315426651686864,0.08113453826212473,0.2113315662983526,0.5729501848842156,0.19243047299090668
Massachusetts,6756217,668780,45689,119675,397278,146951,292618,376162,394283,81814,3437,52229,397,189115,322125,0.09898734750526811,0.43753999820568795,0.562460001794312,0.7409106283824414,0.15373947684906794,0.006458583884546001,0.09814529464822609,0.0007460162357185809,0.2827760997637489,0.4816606357845629,0.06831693531505129,0.17894524357785818,0.5940339124973832,0.21972995603935525
Michigan,9850305,1310058,116005,274571,771580,222900,590621,719437,803197,351581,9480,35650,722,101706,754600,0.13299669401099762,0.4508357645234028,0.5491642354765972,0.6689796190333408,0.29283043069055414,0.007895854676294944,0.029692744642396074,0.0006013509574140243,0.0776347306760464,0.576005031838285,0.08854951460164359,0.20958690378593925,0.5889662900421203,0.17014513861218358
Minnesota,5550433,512312,40086,106205,301188,93665,232157,280155,318846,90876,15413,33884,399,51179,297106,0.09230126730653267,0.4531554989928013,0.5468445010071987,0.6940215664166401,0.19780679033037452,0.033548968477508496,0.07375418464230832,0.0008684901331684871,0.09989810896484955,0.5799317603335468,0.07824528802760818,0.20730531394931215,0.5878995612048907,0.18282804228673152
Mississippi,2874132,557111,52195,135769,308349,90043,238709,318402,199770,325541,4315,3999,218,22734,189747,0.19383626082587718,0.428476551351526,0.5715234486484739,0.37421114447506104,0.6098066285406009,0.008082900777944078,0.007490966445190815,0.0004083597612032002,0.040806948705015694,0.3405910132810158,0.09368869040460519,0.24370188346667002,0.5534785706977604,0.1616248826535466
