county_name,total_households,receiving_snap,state_code,county_code,Year
"Graham County, Arizona",10782,2129,04,009,2018
"Petersburg Borough, Alaska",1170,94,02,195,2018
"Kusilvak Census Area, Alaska",1692,657,02,158,2018
"Maricopa County, Arizona",1520767,195487,04,013,2018
"Santa Cruz County, Arizona",15430,3437,04,023,2018
"La Paz County, Arizona",8912,1901,04,012,2018
"Mohave County, Arizona",85485,12943,04,015,2018
"Coconino County, Arizona",47276,8823,04,005,2018
"Yavapai County, Arizona",96007,12190,04,025,2018
"Greenlee County, Arizona",3225,328,04,011,2018
"Pinal County, Arizona",137286,18820,04,021,2018
"Nevada County, Arkansas",3303,819,05,099,2018
"Cross County, Arkansas",6694,1091,05,037,2018
"Dallas County, Arkansas",3033,481,05,039,2018
"Columbia County, Arkansas",8962,2246,05,027,2018
"Saline County, Arkansas",43604,3841,05,125,2018
"Van Buren County, Arkansas",6852,1271,05,141,2018
"Izard County, Arkansas",5049,863,05,065,2018
"Independence County, Arkansas",14268,2204,05,063,2018
"Logan County, Arkansas",8464,1615,05,083,2018
"Grant County, Arkansas",6780,968,05,053,2018
"Franklin County, Arkansas",6800,1561,05,047,2018
"Pike County, Arkansas",4299,732,05,109,2018
"Jefferson County, Arkansas",26977,5858,05,069,2018
"Montgomery County, Arkansas",3761,710,05,097,2018
"Scott County, Arkansas",3855,817,05,127,2018
"Sebastian County, Arkansas",50670,9278,05,131,2018
"Crawford County, Arkansas",23701,3710,05,033,2018
"Chicot County, Arkansas",4308,1333,05,017,2018
"Johnson County, Arkansas",9800,2044,05,071,2018
"Lee County, Arkansas",3352,980,05,077,2018
"Camden County, Missouri",16096,2384,29,029,2018
"Jefferson County, Missouri",84393,8570,29,099,2018
"New Madrid County, Missouri",7312,1669,29,143,2018
"Ralls County, Missouri",4004,427,29,173,2018
"Custer County, Montana",4889,535,30,017,2018
"Powder River County, Montana",769,81,30,075,2018
"Roosevelt County, Montana",3156,742,30,085,2018
"Liberty County, Montana",886,105,30,051,2018
"Richland County, Montana",4493,237,30,083,2018
"Toole County, Montana",1898,273,30,101,2018
"Daniels County, Montana",856,30,30,019,2018
"Judith Basin County, Montana",923,157,30,045,2018
"Deer Lodge County, Montana",3855,628,30,023,2018
"McCone County, Montana",704,79,30,055,2018
"Rosebud County, Montana",3147,514,30,087,2018
"Dawson County, Montana",3972,315,30,021,2018
"Broadwater County, Montana",2420,156,30,007,2018
"Phillips County, Montana",1770,267,30,071,2018
"Blaine County, Nebraska",218,27,31,009,2018
"Deuel County, Nebraska",824,75,31,049,2018
"Logan County, Nebraska",341,30,31,113,2018
"Thayer County, Nebraska",2283,186,31,169,2018
"Adams County, Nebraska",12710,1561,31,001,2018
"Boone County, Nebraska",2280,158,31,011,2018
"Rock County, Nebraska",626,65,31,149,2018
"Sherman County, Nebraska",1358,159,31,163,2018
"Howard County, Nebraska",2684,300,31,093,2018
"Gosper County, Nebraska",877,62,31,073,2018
"Sequatchie County, Tennessee",5441,843,47,153,2018
"Shelby County, Tennessee",350260,64940,47,157,2018
"Henderson County, Tennessee",10671,1982,47,077,2018
"Jefferson County, Tennessee",19910,2763,47,089,2018
"Carroll County, Tennessee",11062,2088,47,017,2018
"Davidson County, Tennessee",277903,39216,47,037,2018
"Perry County, Tennessee",3317,931,47,135,2018
"Meigs County, Tennessee",4790,796,47,121,2018
"Haywood County, Tennessee",7100,1520,47,075,2018
"Montgomery County, Tennessee",70303,9761,47,125,2018
"Grundy County, Tennessee",4838,1175,47,061,2018
"Cocke County, Tennessee",14181,3368,47,029,2018
"DeKalb County, Tennessee",7487,1276,47,041,2018
"Lewis County, Tennessee",4758,850,47,101,2018
"Obion County, Tennessee",12715,2788,47,131,2018
"Tipton County, Tennessee",21325,3151,47,167,2018
"Dyer County, Tennessee",15180,2762,47,045,2018
"Hamilton County, Tennessee",140890,18399,47,065,2018
"Polk County, Tennessee",7096,1181,47,139,2018
"White County, Tennessee",9951,1635,47,185,2018
"Sullivan County, Tennessee",66239,10603,47,163,2018
"Schoharie County, New York",12559,1606,36,095,2018
"Fulton County, New York",22439,3143,36,035,2018
"Rensselaer County, New York",64563,7196,36,083,2018
"Franklin County, New York",19088,3374,36,033,2018
"Queens County, New York",779234,102493,36,081,2018
"Washington County, New York",24009,2874,36,115,2018
"New York County, New York",758133,115288,36,061,2018
"Cayuga County, New York",31251,3669,36,011,2018
"Rockland County, New York",100005,10663,36,087,2018
"Niagara County, New York",88211,11933,36,063,2018
"Essex County, New York",15425,1501,36,031,2018
"Nassau County, New York",445517,26277,36,059,2018
"Schuyler County, New York",7304,950,36,097,2018
"Chenango County, New York",20616,2955,36,017,2018
"Jefferson County, New York",43267,5881,36,045,2018
"Suffolk County, New York",487981,34395,36,103,2018
"Wyoming County, New York",15815,1660,36,121,2018
"Oswego County, New York",46032,7393,36,075,2018
"Wayne County, New York",36504,3788,36,117,2018
"Broome County, New York",78594,12530,36,007,2018
"Erie County, New York",387847,55496,36,029,2018
"Sullivan County, New York",27890,3881,36,105,2018
"Bradley County, Arkansas",4537,954,05,011,2018
"Lafayette County, Arkansas",2859,709,05,073,2018
"Phillips County, Arkansas",7498,2173,05,107,2018
"Yell County, Arkansas",7491,1277,05,149,2018
"Polk County, Arkansas",8204,1874,05,113,2018
"Ouachita County, Arkansas",10055,2527,05,103,2018
"Little River County, Arkansas",5440,887,05,081,2018
"Miller County, Arkansas",16748,3310,05,091,2018
"White County, Arkansas",29263,5037,05,145,2018
"Lake County, California",25966,5266,06,033,2018
"Dent County, Missouri",6300,1250,29,065,2018
