Year,state,Female_18_59,Male_18_59,Female_5_17,Male_5_17,Female_greater_than_60,Male_greater_than_60,Female_less_than_5,Male_less_than_5,Alaska Native alone,American Indian alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,White alone,Not Spanish/Hispanic/Latino,Spanish/Hispanic/Latino,Asian and Pacific Island languages,English Only,N/A (GQ/vacant),Other Indo-European languages,Other Language,Spanish,With a disability,Without a disability,total_pop,indian_area,state_area,Percent_Tribal_Land,Income_Limit,state_name,Pop2010_Rural,TractSNAP_Rural,Pop2010_Urban,TractSNAP_Urban
2018,1,326578,230353,114140,127294,130790,75152,52051,52053,,4042.0,1072.0,9075.0,461999.0,317.0,43550.0,34034.0,554322.0,1017164,91247,6887,989628,8172,9006,6966,87752,248391,860020,4864680,0.4052729044045433,12.891866492687486,0.0314363249599599,130,Alabama,2209182.0,115131.0,2570554.0,154472.0
2019,1,308008,210660,108822,112655,127711,76132,41027,50596,,5188.0,1058.0,8290.0,414401.0,312.0,25067.0,24393.0,556902.0,958862,76749,9752,919727,8618,11419,6577,79518,238383,797228,4876250,0.4052729044045433,12.891866492687486,0.0314363249599599,130,Alabama,2209182.0,115131.0,2570554.0,154472.0
2021,1,322608,223336,117143,120702,138196,79623,45587,47234,1400.0,5782.0,1811.0,9850.0,418928.0,569.0,44144.0,67309.0,544636.0,1008843,85586,11449,971298,9527,8631,8939,84585,246397,848032,4997675,0.4052729044045433,12.891866492687486,0.0314363249599599,130,Alabama,2209182.0,115131.0,2570554.0,154472.0
2018,13,618128,412579,238935,262418,207864,126270,97898,97120,,8849.0,4396.0,59325.0,862685.0,6543.0,104714.0,70792.0,943908.0,1736822,324390,49722,1572693,13641,53273,46378,325505,356104,1705108,10297484,0.0086410298730229,14.668461601127,0.0005890890338738,130,Georgia,2872458.0,155264.0,6815195.0,351651.0
2019,13,559758,393099,236951,226265,208961,123853,87673,90722,,9416.0,3340.0,53564.0,855070.0,1269.0,101055.0,58658.0,844910.0,1638036,289246,42508,1499142,16122,49252,30961,289297,353209,1574073,10403847,0.0086410298730229,14.668461601127,0.0005890890338738,130,Georgia,2872458.0,155264.0,6815195.0,351651.0
2021,13,579102,402120,236908,242992,212097,140162,82457,88953,122.0,11699.0,4879.0,61988.0,847639.0,670.0,121521.0,204055.0,732218.0,1703482,281309,56258,1530221,13597,56738,46870,281107,365635,1619156,10625615,0.0086410298730229,14.668461601127,0.0005890890338738,130,Georgia,2872458.0,155264.0,6815195.0,351651.0
2018,16,86026,70985,35370,35608,30274,21304,13428,15214,,6467.0,889.0,4110.0,2724.0,974.0,16308.0,12232.0,264505.0,246290,61919,5679,234183,3242,7532,6931,50642,61791,246418,1687809,0.8397615899824308,24.45646100252308,0.0343370036202619,130,Idaho,576276.0,20642.0,991306.0,44863.0
2019,16,77367,70496,29793,33488,30598,20239,10958,14833,,4937.0,4159.0,5130.0,1001.0,943.0,17222.0,11660.0,242720.0,230424,57348,6930,223492,3131,4611,2579,47029,62355,225417,1717750,0.8397615899824308,24.45646100252308,0.0343370036202619,130,Idaho,576276.0,20642.0,991306.0,44863.0
2021,16,83865,61476,30001,33358,33506,24549,14456,12369,48.0,4137.0,2735.0,4140.0,4822.0,255.0,28476.0,30098.0,218869.0,242372,51208,2767,237470,2447,5679,3908,41309,59046,234534,1811617,0.8397615899824308,24.45646100252308,0.0343370036202619,130,Idaho,576276.0,20642.0,991306.0,44863.0
2018,18,352316,254974,135601,136084,121459,75172,56567,56385,,2548.0,552.0,34568.0,207625.0,306.0,50374.0,58170.0,834415.0,1045981,142577,30085,980802,10533,35959,12534,118645,251650,936908,6637426,7.800988199997946e-05,9.873748894804518,7.900735863459885e-06,130,Indiana,2046112.0,55790.0,4437690.0,216876.0
2019,18,342187,244484,122964,123518,115023,78890,49919,51959,,2814.0,716.0,29722.0,198777.0,423.0,39075.0,47697.0,809720.0,1008422,120522,24108,944983,11605,33000,15255,99993,245976,882968,6665703,7.800988199997946e-05,9.873748894804518,7.900735863459885e-06,130,Indiana,2046112.0,55790.0,4437690.0,216876.0
2021,18,324528,228268,125028,130704,129467,78565,51317,48441,,2873.0,1004.0,28413.0,163728.0,577.0,55809.0,117544.0,746370.0,988332,127986,20199,928697,11580,35461,12446,107935,246930,869388,6751340,7.800988199997946e-05,9.873748894804518,7.900735863459885e-06,130,Indiana,2046112.0,55790.0,4437690.0,216876.0
